Date,Open,High,Low,Close,Adj Close,Volume
2017-03-15,7.160000,7.190000,7.097000,7.190000,6.509821,2600
2017-03-16,7.200000,7.280000,7.200000,7.220000,6.536983,2900
2017-03-17,7.195000,7.260000,7.120000,7.250000,6.564145,3600
2017-03-20,7.230000,7.230000,7.210000,7.210000,6.527928,600
2017-03-21,7.080000,7.080000,7.030000,7.035000,6.369483,3700
2017-03-22,7.095000,7.180000,7.095000,7.150000,6.473605,36100
2017-03-23,7.260000,7.290000,7.220000,7.280000,6.591306,8500
2017-03-24,7.280000,7.370000,7.280000,7.340000,6.645630,1900
2017-03-27,7.190000,7.330000,7.190000,7.320000,6.627522,1800
2017-03-28,7.250000,7.330000,7.220000,7.240000,6.555090,4700
2017-03-29,7.140000,7.220000,7.140000,7.220000,6.644416,3300
2017-03-30,7.135000,7.180000,7.130000,7.150000,6.579997,3600
2017-03-31,7.150000,7.150000,7.130000,7.130000,6.561591,700
2017-04-03,7.210000,7.210000,7.150000,7.180000,6.607605,11800
2017-04-04,7.220000,7.220000,7.190000,7.220000,6.644416,2600
2017-04-05,7.130000,7.130000,7.040000,7.090000,6.524780,16400
2017-04-06,7.080000,7.080000,7.000000,7.040000,6.478766,13500
2017-04-07,7.100000,7.120000,7.090000,7.110000,6.543186,7000
2017-04-10,7.070000,7.110000,7.070000,7.110000,6.543186,1400
2017-04-11,7.120000,7.150000,7.100000,7.150000,6.579997,8400
2017-04-12,7.060000,7.130000,7.060000,7.130000,6.561591,3200
2017-04-13,7.090000,7.150000,7.065000,7.065000,6.501773,2500
2017-04-17,7.228000,7.240000,7.226000,7.230000,6.653620,1500
2017-04-18,7.230000,7.230000,7.160000,7.187000,6.614047,25000
2017-04-19,7.210000,7.250000,7.200000,7.220000,6.644416,10600
2017-04-20,7.250000,7.290000,7.250000,7.275000,6.695032,14200
2017-04-21,7.200000,7.200000,7.100000,7.120000,6.552389,17900
2017-04-24,7.180000,7.220000,7.180000,7.220000,6.644416,5400
2017-04-25,7.290000,7.320000,7.280000,7.310000,6.727242,2800
2017-04-26,7.280000,7.290000,7.250000,7.250000,6.672025,6200
2017-04-27,7.228000,7.240000,7.220000,7.220000,6.644416,4000
2017-04-28,7.030000,7.030000,6.950000,7.000000,6.441955,3400
2017-05-01,6.946000,6.950000,6.946000,6.950000,6.395941,3800
2017-05-02,6.940000,6.960000,6.930000,6.960000,6.405144,8600
2017-05-03,6.970000,7.010000,6.945000,7.010000,6.451158,10200
2017-05-04,6.980000,7.040000,6.970000,7.040000,6.478766,5800
2017-05-05,7.010000,7.040000,7.000000,7.040000,6.478766,6100
2017-05-08,7.290000,7.290000,7.200000,7.290000,6.708836,12100
2017-05-09,7.230000,7.230000,7.200000,7.215000,6.639815,9600
2017-05-10,7.250000,7.270000,7.200000,7.220000,6.644416,13800
2017-05-11,7.200000,7.200000,7.191000,7.200000,6.626010,3300
2017-05-12,7.230000,7.230000,7.210000,7.210000,6.635213,5500
2017-05-15,7.300000,7.320000,7.260000,7.260000,6.681227,4100
2017-05-16,7.330000,7.330000,7.300000,7.330000,6.745647,6400
2017-05-17,7.460000,7.460000,7.370000,7.420000,6.828473,14300
2017-05-18,7.405000,7.450000,7.405000,7.440000,6.846878,10100
2017-05-19,7.460000,7.490000,7.450000,7.460000,6.865283,10900
2017-05-22,7.632000,7.634000,7.560000,7.620000,7.012528,11200
2017-05-23,7.720000,7.720000,7.700000,7.710000,7.095353,9800
2017-05-24,7.780000,7.810000,7.780000,7.810000,7.187381,6100
2017-05-25,7.872000,7.940000,7.872000,7.940000,7.307017,9200
2017-05-26,7.980000,7.990000,7.970000,7.980000,7.343828,5800
2017-05-30,8.190000,8.190000,8.130000,8.130000,7.481871,14600
2017-05-31,8.090000,8.090000,8.084000,8.090000,7.445059,5200
2017-06-01,8.265000,8.270000,8.245000,8.245000,7.587703,4600
2017-06-02,8.300000,8.500000,8.300000,8.499000,7.821453,33200
2017-06-05,8.590000,8.590000,8.586000,8.590000,7.905199,800
2017-06-06,8.650000,8.670000,8.650000,8.670000,7.978822,16500
2017-06-07,8.820000,8.840000,8.810000,8.820000,8.116863,9700
2017-06-08,8.840000,8.860000,8.840000,8.860000,8.153675,3400
2017-06-09,8.810000,8.830000,8.700000,8.830000,8.126065,6900
2017-06-12,8.850000,8.850000,8.835000,8.850000,8.144471,6100
2017-06-13,8.940000,9.000000,8.940000,8.980000,8.264108,2400
2017-06-14,9.120000,9.120000,8.960000,8.985000,8.268708,40900
2017-06-15,8.870000,8.970000,8.870000,8.910000,8.199689,18600
2017-06-16,8.910000,8.910000,8.880000,8.895000,8.185884,3800
2017-06-19,8.950000,8.960000,8.930000,8.945000,8.231897,9900
2017-06-20,8.910000,8.910000,8.870000,8.885000,8.176682,5900
2017-06-21,8.940000,8.940000,8.900000,8.900000,8.190485,3000
2017-06-22,8.938000,8.970000,8.900000,8.950000,8.236499,5900
2017-06-23,8.977000,8.990000,8.970000,8.990000,8.273311,4600
2017-06-26,8.990000,9.020000,8.970000,8.990000,8.273311,4200
2017-06-27,8.890000,8.899000,8.860000,8.870000,8.162877,2800
2017-06-28,8.940000,8.960000,8.940000,8.960000,8.245703,9800
2017-06-29,9.060000,9.060000,9.010000,9.010000,8.291718,7900
2017-06-30,9.050000,9.060000,9.010000,9.050000,8.328527,16300
2017-07-03,8.918000,8.930000,8.910000,8.920000,8.208891,1600
2017-07-05,9.070000,9.070000,8.980000,9.020000,8.300920,7100
2017-07-06,8.940000,8.950000,8.930000,8.930000,8.218094,8800
2017-07-07,8.780000,8.810000,8.780000,8.810000,8.107660,4700
2017-07-10,8.790000,8.800000,8.770000,8.800000,8.098456,4600
2017-07-11,8.680000,8.690000,8.660000,8.690000,7.997226,7800
2017-07-12,8.740000,8.820000,8.740000,8.820000,8.116863,10800
2017-07-13,8.670000,8.690000,8.667000,8.690000,7.997226,8600
2017-07-14,8.740000,8.740000,8.700000,8.730000,8.034037,1500
2017-07-17,8.740000,8.750000,8.705000,8.720000,8.024836,16500
2017-07-18,8.810000,8.810000,8.780000,8.780000,8.080051,10700
2017-07-19,8.670000,8.710000,8.670000,8.710000,8.015633,2400
2017-07-20,9.000000,9.000000,8.970000,9.000000,8.282513,1900
2017-07-21,9.000000,9.000000,8.990000,8.995000,8.277912,2000
2017-07-24,9.000000,9.060000,9.000000,9.060000,8.337731,2700
2017-07-25,8.940000,8.980000,8.930000,8.980000,8.264108,10500
2017-07-26,8.867000,8.970000,8.860000,8.960000,8.245703,9000
2017-07-27,9.039000,9.039000,8.930000,8.954000,8.240180,8200
2017-07-28,9.140000,9.140000,9.125000,9.130000,8.402151,3900
2017-07-31,9.040000,9.040000,8.970000,8.990000,8.273311,9400
2017-08-01,8.920000,8.920000,8.910000,8.910000,8.199689,1400
2017-08-02,8.760000,8.760000,8.740000,8.750000,8.052444,5700
2017-08-03,8.810000,8.810000,8.780000,8.800000,8.098456,5500
2017-08-04,8.850000,8.900000,8.850000,8.890000,8.181283,4800
2017-08-07,8.840000,8.870000,8.840000,8.870000,8.162877,9800
2017-08-08,8.890000,8.900000,8.860000,8.875000,8.167480,3400
2017-08-09,8.850000,8.850000,8.760000,8.826000,8.122385,9700
2017-08-10,8.840000,8.870000,8.810000,8.860000,8.153675,10700
2017-08-11,8.870000,8.870000,8.805000,8.805000,8.103060,3500
2017-08-14,8.850000,8.870000,8.850000,8.857000,8.150915,2800
2017-08-15,8.927000,8.930000,8.927000,8.930000,8.218094,3200
2017-08-16,8.820000,8.830000,8.790000,8.815000,8.112261,6100
2017-08-17,8.820000,8.820000,8.720000,8.730000,8.034037,6800
2017-08-18,8.720000,8.740000,8.710000,8.730000,8.034037,9200
2017-08-21,8.640000,8.640000,8.600000,8.630000,7.942011,2900
2017-08-22,8.613000,8.640000,8.613000,8.640000,7.951214,6200
2017-08-23,8.540000,8.620000,8.540000,8.547000,7.865626,4600
2017-08-24,8.360000,8.530000,8.360000,8.510000,7.831577,19300
2017-08-25,8.540000,8.540000,8.513000,8.525000,7.845380,6500
2017-08-28,8.630000,8.630000,8.530000,8.570000,7.886793,15600
2017-08-29,8.678000,8.680000,8.570000,8.618000,7.930967,24800
2017-08-30,8.480000,8.480000,8.420000,8.480000,7.803968,19700
2017-08-31,8.490000,8.530000,8.490000,8.530000,7.849982,4600
2017-09-01,8.470000,8.480000,8.465000,8.470000,7.794765,12300
2017-09-05,8.220000,8.240000,8.190000,8.240000,7.583101,7700
2017-09-06,8.220000,8.310000,8.220000,8.310000,7.647521,18200
2017-09-07,8.390000,8.390000,8.320000,8.380000,7.711940,14400
2017-09-08,8.457000,8.460000,8.422000,8.430000,7.757954,5800
2017-09-11,8.449000,8.449000,8.350000,8.350000,7.684333,2000
2017-09-12,8.350000,8.410000,8.300000,8.350000,7.684333,9600
2017-09-13,8.250000,8.260000,8.239000,8.250000,7.592304,47800
2017-09-14,8.180000,8.270000,8.180000,8.260000,7.601507,11400
2017-09-15,8.370000,8.397000,8.370000,8.397000,7.727585,2500
2017-09-18,8.410000,8.440000,8.390000,8.420000,7.748752,20900
2017-09-19,8.710000,8.710000,8.590000,8.610000,7.923605,27100
2017-09-20,8.580000,8.580000,8.520000,8.560000,7.877592,14400
2017-09-21,8.607000,8.620000,8.590000,8.610000,7.923605,10700
2017-09-22,8.530000,8.600000,8.530000,8.600000,7.914403,15000
2017-09-25,8.590000,8.670000,8.590000,8.660000,7.969618,11400
2017-09-26,8.700000,8.700000,8.680000,8.690000,7.997226,3700
2017-09-27,8.600000,8.670000,8.590000,8.670000,7.978822,14500
2017-09-28,8.700000,8.720000,8.690000,8.720000,8.124992,9500
2017-09-29,8.890000,8.890000,8.800000,8.850000,8.246121,13000
2017-10-02,8.856000,8.900000,8.850000,8.875000,8.269416,4400
2017-10-03,8.828000,8.900000,8.828000,8.900000,8.292709,4700
2017-10-04,8.980000,9.010000,8.980000,9.010000,8.395205,9400
2017-10-05,9.100000,9.150000,9.100000,9.105000,8.483722,14400
2017-10-06,9.480000,9.480000,9.080000,9.130000,8.507017,15100
2017-10-09,9.230000,9.230000,9.130000,9.130000,8.507017,6000
2017-10-10,9.090000,9.090000,9.050000,9.070000,8.451110,2300
2017-10-11,9.140000,9.210000,9.070000,9.210000,8.581556,9200
2017-10-12,9.180000,9.190000,9.160000,9.180000,8.553604,4700
2017-10-13,9.217000,9.240000,9.217000,9.236000,8.605783,3400
2017-10-16,9.410000,9.410000,9.370000,9.390000,8.749275,2500
2017-10-17,9.330000,9.350000,9.290000,9.350000,8.712005,7600
2017-10-18,9.273000,9.320000,9.270000,9.320000,8.684052,4900
2017-10-19,9.290000,9.330000,9.270000,9.320000,8.684052,14000
2017-10-20,9.420000,9.420000,9.300000,9.300000,8.665416,12700
2017-10-23,9.330000,9.330000,9.270000,9.280000,8.646781,16500
2017-10-24,9.180000,9.210000,9.170000,9.195000,8.567580,6400
2017-10-25,8.981000,9.090000,8.980000,9.090000,8.469746,5000
2017-10-26,9.050000,9.080000,9.050000,9.075000,8.455770,13900
2017-10-27,9.040000,9.060000,9.040000,9.060000,8.441793,4700
2017-10-30,9.050000,9.060000,9.040000,9.040000,8.423157,12700
2017-10-31,8.980000,8.990000,8.950000,8.988000,8.374704,9000
2017-11-01,8.970000,8.970000,8.900000,8.950000,8.339297,8000
2017-11-02,8.800000,8.820000,8.760000,8.820000,8.218168,7900
2017-11-03,8.820000,8.850000,8.804000,8.850000,8.246121,13300
2017-11-06,8.800000,8.850000,8.800000,8.850000,8.246121,3200
2017-11-07,8.800000,8.840000,8.770000,8.840000,8.236804,14200
2017-11-08,8.880000,9.060000,8.880000,8.980000,8.367251,20500
2017-11-09,9.024000,9.191000,9.000000,9.140000,8.516335,13600
2017-11-10,8.920000,8.920000,8.890000,8.920000,8.311345,6000
2017-11-13,8.735000,8.820000,8.735000,8.820000,8.218168,13000
2017-11-14,8.730000,8.730000,8.695000,8.695000,8.101698,4400
2017-11-15,8.536000,8.590000,8.536000,8.590000,8.003862,16100
2017-11-16,8.720000,8.780000,8.720000,8.759000,8.161331,11600
2017-11-17,8.650000,8.650000,8.600000,8.615000,8.027158,6100
2017-11-20,8.780000,8.780000,8.750000,8.780000,8.180897,2400
2017-11-21,8.780000,8.810000,8.740000,8.810000,8.208851,6600
2017-11-22,8.940000,8.940000,8.870000,8.940000,8.329980,33700
2017-11-24,8.950000,9.100000,8.950000,9.080000,8.460427,221000
2017-11-27,8.863000,8.870000,8.830000,8.845000,8.241463,15800
2017-11-28,8.822000,8.930000,8.810000,8.850000,8.246121,9700
2017-11-29,9.060000,9.220000,9.060000,9.160000,8.534968,12300
2017-11-30,9.280000,9.320000,9.220000,9.311000,8.675666,14300
2017-12-01,9.110000,9.180000,9.090000,9.150000,8.525651,13500
2017-12-04,9.140000,9.140000,9.100000,9.110000,8.488380,7900
2017-12-05,9.295000,9.310000,9.200000,9.310000,8.674734,14100
2017-12-06,9.050000,9.100000,9.050000,9.070000,8.451110,12800
2017-12-07,8.930000,9.060000,8.930000,9.030000,8.413839,8500
2017-12-08,8.780000,8.780000,8.680000,8.760000,8.162263,8700
2017-12-11,8.840000,8.840000,8.790000,8.790000,8.190215,3500
2017-12-12,8.805000,8.840000,8.800000,8.830000,8.227487,9300
2017-12-13,8.990000,8.990000,8.920000,8.955000,8.343958,16800
2017-12-14,8.920000,8.920000,8.830000,8.900000,8.292709,10300
2017-12-15,8.742000,8.750000,8.670000,8.705000,8.111016,11800
2017-12-18,8.815000,8.850000,8.780000,8.820000,8.218168,11700
2017-12-19,8.810000,8.810000,8.750000,8.765000,8.166923,8200
2017-12-20,8.695000,8.760000,8.695000,8.730000,8.134309,6900
2017-12-21,8.700000,8.760000,8.700000,8.725000,8.129651,12000
2017-12-22,8.720000,8.800000,8.710000,8.785000,8.185556,22000
2017-12-26,8.865000,8.930000,8.865000,8.930000,8.320662,5600
2017-12-27,8.890000,8.930000,8.860000,8.915000,8.306687,18700
2017-12-28,8.810000,8.810000,8.730000,8.760000,8.162263,15000
2017-12-29,8.740000,8.740000,8.650000,8.720000,8.124992,6700
2018-01-02,8.698000,8.730000,8.698000,8.730000,8.134309,6900
2018-01-03,8.820000,8.900000,8.820000,8.875000,8.269416,9900
2018-01-04,9.048000,9.060000,8.950000,9.005000,8.390545,24300
2018-01-05,8.950000,9.010000,8.950000,9.010000,8.395205,16400
2018-01-08,9.050000,9.050000,8.970000,9.010000,8.395205,12600
2018-01-09,8.950000,9.200000,8.950000,9.200000,8.572239,12000
2018-01-10,9.320000,9.320000,9.255000,9.255000,8.623487,11500
2018-01-11,9.250000,9.270000,9.120000,9.220000,8.590875,16400
2018-01-12,9.105000,9.210000,9.090000,9.195000,8.567580,30600
2018-01-16,9.080000,9.160000,8.950000,9.000000,8.385886,24000
2018-01-17,8.920000,9.150000,8.920000,9.150000,8.525651,9400
2018-01-18,9.150000,9.170000,9.100000,9.135000,8.511675,14800
2018-01-19,9.235000,9.310000,9.170000,9.170000,8.544287,8300
2018-01-22,9.280000,9.389000,9.280000,9.355000,8.716662,13700
2018-01-23,9.625000,9.660000,9.590000,9.660000,9.000851,20300
2018-01-24,9.620000,9.630000,9.560000,9.600000,8.944945,15800
2018-01-25,9.598000,9.603000,9.470000,9.580000,8.926311,18300
2018-01-26,9.610000,9.610000,9.443000,9.600000,8.944945,9900
2018-01-29,9.340000,9.360000,9.270000,9.360000,8.721321,31600
